Reference,PPI,PPCT,PPCT2,ANCOVA,Naive (ML only),lambda,rho,pred_bias
2.0919449215944743,2.2969056630168985,2.2941769534762484,2.293992142982903,2.294838232708866,-12.790264541441477,0.9866866721806676,0.40390383602114754,14.910608193684679
1.844739218310078,2.0512604195425905,2.081984592425094,2.078144552885577,2.081632519854736,-13.312750153498055,1.148770066700864,0.47184213541028425,15.246560578663066
2.346120735930336,2.591261244174484,2.542546859711072,2.5431643637114627,2.5422718376579567,-13.036393834011925,0.8012797443705417,0.40048406797415115,15.121013133155216
1.7257381875641247,1.9302834058489566,1.9062085930417283,1.9031429859133118,1.9087100359483502,-12.882644029169185,0.8823007792159492,0.41726114082566995,14.660380568070156
2.168199779340676,2.134665051577736,2.1254213068861976,2.1255480179584314,2.1255043229287587,-12.834873868708046,1.275646928070605,0.4762657821136686,14.88141659282496
2.575047301611536,2.3642448373111606,2.3406737353070883,2.339139259355064,2.3403042339357105,-12.666858561700993,1.1118160647803679,0.5027644837156562,15.07885253497274
1.9495297597440482,2.0185220953324374,2.018833652987907,2.0188593354001725,2.018675379380997,-13.23427555754924,1.0045158299514505,0.43629174301010276,15.163544657720886
1.7645575089396053,1.9148819350074784,1.8770864382093035,1.877895329838222,1.87765920489261,-13.387579707777693,0.7485738160669311,0.384138165823463,15.169946147145884
2.100262342997418,2.1839079942302924,2.179313932175643,2.1781522440781105,2.1781291950902073,-13.110677808715577,0.9450770962155688,0.4586266963062671,15.090322478851517
1.3971377069734998,1.5373680905036506,1.537211727620758,1.5370987769969942,1.5374655411831504,-13.23560254344262,0.9988849571757769,0.41137341944213407,14.86135267970611
1.2186924563836392,1.407746568144687,1.4025974264584915,1.4029796472532203,1.4027092152034495,-13.37322408484346,0.9727636620106743,0.4608174154936643,15.053653885555361
2.089564036467455,2.279905255822502,2.2845549906903218,2.279249500619226,2.2886081258520394,-12.867270080054874,1.0244284179936194,0.45728606067563815,14.851490991748475
1.966205876945634,1.7883700301182943,1.8005974717385735,1.800035266186677,1.8006324711127197,-12.961691093337798,0.9312430995301457,0.47157745393412565,14.97671816322113
1.6179313566174824,1.8203343355052277,1.7919963518724815,1.797487232412931,1.7920880275888111,-13.456319031637248,0.8599922600523466,0.3634796973066675,15.310527103285164
1.7421042168559442,1.896804784492667,1.9013020201679072,1.902188216328037,1.9012163402383633,-13.122684183592131,1.029070582894055,0.4407818223441537,14.887753537848038
2.1031488541992402,1.9669276641309843,1.9690401487269236,1.9699140997950644,1.969510887760594,-12.94472644879768,0.9844922468018331,0.43251595493854517,15.126849627262931
2.0694597373318238,2.3288090938735064,2.2680900510440365,2.2653220790041155,2.268649749398681,-12.956692789429598,0.7658793388226106,0.3119704991718936,15.023632559696951
1.985910124474387,2.081903688713062,2.0640912593750818,2.064150990094508,2.0640350055254726,-12.937967826438461,0.8144414213676683,0.397357151226972,14.895399666067922
2.6131152864058427,2.031151114091424,2.091728480490371,2.1118196644205565,2.080820600254108,-13.037229074450222,0.8959087701945015,0.48752417319921026,15.300007612562775
2.4289794289091775,2.450469278836258,2.44489629918792,2.44491981639787,2.4449207598884355,-13.154350208982848,0.7406692151295552,0.39698069679949727,15.326702500156143
1.664503355480112,1.735206085993652,1.7480596586913029,1.7481531809575164,1.747967170613875,-13.29206860750793,1.1817974016603057,0.42394209262927063,15.098297981806535
1.6108202504259275,1.7333427076947068,1.741453614616723,1.7425250987890926,1.741508148527078,-13.205614589749093,1.066199349105639,0.48016590978771156,14.997173875012825
2.258084134751111,2.0399047287998053,2.0964992542053027,2.0909363685536495,2.0958246641888514,-12.73318326591167,0.7406055573451855,0.38973631672501585,14.826035680342851
2.200986135176263,2.231505672113561,2.226565197888491,2.226907758617443,2.2266519530992346,-13.1708943840623,0.8381209310213157,0.4059635014803522,15.236591323796747
2.223754250703446,2.418329104307008,2.3976556875242894,2.3972956937172403,2.398779372487864,-13.068957756465666,0.8937508295658828,0.4405778206886921,15.099331850319604
2.135649715151933,1.942122460329515,1.9733060053334726,1.9739262757186904,1.9729718980386246,-12.537461458606764,0.8388674244742842,0.48662372009771654,14.72780089246543
1.8635109290949101,2.386400559160624,2.3207182602208705,2.316038344609148,2.324183534773965,-12.75606914600331,0.8743859216877192,0.37462907442164034,14.695900305584912
2.1086585151380914,1.9814393981803349,1.996542386751655,1.996147625613094,1.996390091196751,-12.843987928587815,0.8812836550631359,0.47598880903962676,14.747683602441803
